Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Some common side effects of pyrazinamide are nausea, vomiting, loss of appetite, stomach pain, joint pain, and liver problems.",Pyrazinamide,,,,,
"Inform your doctor immediately if you notice any unwanted effects such as fever, abdominal tenderness, jaundice, nausea, vomiting, or loss of appetite after taking pyrazinamide.",Pyrazinamide,,,,,
"If you miss a dose of pyrazinamide, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take the next dose at the regular time.",Pyrazinamide,,,,,
"Taking too much pyrazinamide can cause serious side effects such as liver damage, gout, and high blood sugar levels.",Pyrazinamide,Liver,,,,
"Store pyrazinamide in a cool, dry place, away from light and moisture.",Pyrazinamide,,,,,
You must take pyrazinamide after meals.,Pyrazinamide,,,,,
Pyrazinamide works by reducing the pH/pH inside the cell and inhibiting the growth of bacteria by converting it into an active metabolite called pyrazinoic acid in the presence of this drug.,Pyrazinamide,,,,,
Pyrazinamide is an antitubercular drug used to treat tuberculosis (TB). It works by inhibiting the growth of Mycobacterium tuberculosis bacteria. It is usually given in combination with other antituberculosis drugs because it can lead to resistance when used alone.,Pyrazinamide,,Tuberculosis (TB),,Antitubercular,
"Pyrazinamide is an anti-tuberculosis drug, which is used along with other drugs to treat tuberculosis. This drug prevents the spread of the infection.",Pyrazinamide,,Tuberculosis,,,Medicine
"Clarithromycin is a macrolide antibiotic used to treat various bacterial infections, such as pneumonia, bronchitis, skin infections, ear infections, etc.",Clarithromycin,"Lungs, skin, ears","Pneumonia, bronchitis, skin infections, ear infections",,Macrolides,
"Clarithromycin is available in the form of tablets, capsules, and liquid suspension. The dosage and method of administration depend on the type and severity of the infection. Typically, adults are prescribed 250 to 500 mg tablets every 12 hours.",Clarithromycin,,,,,
It is also contraindicated in patients with a history of cholestatic jaundice or liver dysfunction due to clarithromycin use.,Clarithromycin,,,,,Contraindications
" Some common side effects of clarithromycin are nausea, vomiting, diarrhea, stomach pain, headache.",Clarithromycin,," Diarrhea, stomach pain, headache",,,
Clarithromycin can be taken both before and after meals.,Clarithromycin,,,,,
Breastfeeding should be avoided during treatment with clarithromycin.,Clarithromycin,,,,,
"If you miss a dose of clarithromycin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Clarithromycin,,,,,
"Clarithromycin is contraindicated in people with hypersensitivity to clarithromycin, erythromycin, macrolide antibacterial drugs, or any other ingredient of this medication.",Clarithromycin,,,,,Contraindications
Most gram-negative bacteria are resistant to clarithromycin due to cross-targeting.,Clarithromycin,,,,,
Clarithromycin side effects include stomatitis and glossitis. Headache and allergic reactions may also occur.,Clarithromycin,,"Stomatitis, glossitis, headache, allergies",,,
"Clarithromycin is excreted primarily by the kidneys and liver. If renal function is normal, no dosage adjustment of clarithromycin is necessary for hepatic impairment alone.",Clarithromycin,Kidney Liver,,,,
"Store clarithromycin in a cool, dry place, away from light and moisture.",Clarithromycin,,,,,
Clarithromycin is twice as effective as erythromycin against Haemophilus influenzae.,Clarithromycin,,Haemophilus influenzae,,,
"Clarithromycin is a macrolide antibiotic used to treat a variety of bacterial infections. It is stomach acid-tolerant and can be taken with or without food. It may help control some stomach bacteria, which play an important role in the digestive process.",Clarithromycin,Stomach,,,Macrolides,
"Mebendazole is indicated for the treatment of threadworms, tapeworms, roundworms, and hookworms.",,,,,,
Mebendazole is contraindicated in patients with hypersensitivity to mebendazole or any of the ingredients of this formulation.,Mebendazole,,,,,
"Mebendazole is an anthelmintic medication used to treat various types of worm infections, such as pinworms, roundworms, whipworms, and hookworms.",Mebendazole,,"Pinworms, roundworms, whipworms, hookworms",,Anthelmintic,
Mebendazole is not indicated in pregnant women.,Mebendazole,,,,,
"Mebendazole is available in tablet and chewable tablet form. The dosage and method of administration depend on the type and severity of the infection. Generally, a single dose of one 100 mg tablet is prescribed for adults.",Mebendazole,,,,,
The relative benefits/risks should be considered when treating children under two years of age.,Mebendazole,,,,,
"If you miss a dose of Mebendazole, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Mebendazole,,,,,
"After oral administration, about 2-10% of the drug is absorbed from the gastrointestinal tract and reaches peak plasma concentrations within 30 minutes to 7 hours. Mebendazole is highly bound to plasma proteins. Its half-life ranges from 2.8 to 9 hours.",Mebendazole,,,,,
Taking too much mebendazole can cause side effects such as temporary stomach pain and diarrhea.,Mebendazole,,,,,
"Store mebendazole away from light and moisture, below 25°C. Keep out of the reach of children.",Mebendazole,,,,,
"Mebendazole is a synthetic broad-spectrum anthelmintic, active against most nematodes and some other worms.",Mebendazole,,,,Synthetic broad-spectrum anthelmintic,
Mebendazole is an anthelmintic drug used to treat a variety of worm infections. It works by disrupting the worms' glucose uptake and preventing them from producing energy. It is particularly effective against intestinal worms.,Mebendazole,,,,Anthelmintic,
"In the event of an accidental overdose of mebendazole, gastrointestinal symptoms may persist for several hours. In this case, the drug can be eliminated by vomiting.",,,,,,
Mebendazole is primarily used to treat intestinal nematode infections. Mebendazole inhibits the formation of microtubules in worms and reduces the worms' glucose levels.,Mebendazole,,,,,
"Cefadrin is a first-generation cephalosporin antibiotic used to treat various bacterial infections, such as urinary tract infections, skin infections, respiratory infections, etc.",Cefadrine,"Skin, respiratory system","Urinary tract infections, skin infections, respiratory infections",,Cephalosporins,
"Cefadrine is available in capsule and liquid suspension form. The dosage and method of administration depend on the type and severity of the infection. Generally, adults are prescribed 250 to 500 mg capsules every 6 hours.",Cefadrine,,,,,
"Some common side effects of Cefadrin are nausea, vomiting, diarrhea, stomach pain, headache, and skin rash.",Cefadrine,,,,,
"If you miss a dose of Cefadrin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Cefadrine,,,,,
"Taking an overdose of Cefadrine can cause serious side effects such as blurred vision, fainting, fever, swelling of the lips, tongue, or throat, etc.",Cefadrine,,,,,
"Store Cefadrin in a cool, dry place, away from light and moisture.",Cefadrine,,,,,
"Cefadrin is an antibiotic used to treat various bacterial infections. It is stomach acid-tolerant and can be taken with or without food. It can help control stomach bacteria in some cases, which play an important role in the digestive process.",Cefadrine,,,,Cephalosporins,
"Amoxicillin is a penicillin class antibiotic used to treat various bacterial infections, such as bronchitis, pneumonia, ear infections, urinary tract infections, etc.",Amoxicillin,"Lungs, ears","Bronchitis, pneumonia, ear infections, urinary tract infections",,Penicillin,
"Amoxicillin is available in the form of tablets, capsules, liquid suspensions, and injections. The dosage and method of administration depend on the type and severity of the infection. Typically, adults are prescribed 250 to 500 mg tablets every 8 hours.",Amoxicillin,,,,,
"Some common side effects of amoxicillin are nausea, vomiting, diarrhea, stomach pain, headache, and skin rash.",Amoxicillin,,,,,
"If you miss a dose of amoxicillin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Amoxicillin,,,,,
"Taking an overdose of amoxicillin can cause serious side effects such as blurred vision, fainting, fever, swelling of the lips, tongue, or throat, etc.",Amoxicillin,,,,,
"Store amoxicillin in a cool, dry place, away from light and moisture.",Amoxicillin,,,,,
"Amoxicillin is an antibiotic used to treat a variety of bacterial infections. It is stomach acid-tolerant and can be taken with or without food. It can also help control stomach bacteria, which play an important role in the digestive process.",Amoxicillin,Stomach,,,Penicillin,
"Metronidazole is available in the form of tablets, capsules, creams, gels, and injections. The dosage and method of administration depend on the type and severity of the infection.",Metronidazole,,,,,
"Some common side effects of metronidazole are nausea, vomiting, diarrhea, stomach pain, headache, and metallic taste.",Metronidazole,,,,,
"Taking an overdose of metronidazole can cause serious side effects such as blurred vision, fainting, fever, swelling of the lips, tongue, or throat, etc.",Metronidazole,,,,,
